Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources
Food Waste,Other,311211,115112,NAICS_2012_Code,,"=""00000""",FIPS,120415483.35914904,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,311119,NAICS_2012_Code,,"=""00000""",FIPS,273278333.72920334,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,324110,NAICS_2012_Code,,"=""00000""",FIPS,4682106.409061362,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,5622121,NAICS_2012_Code,,"=""00000""",FIPS,18089744.04144717,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,562213,NAICS_2012_Code,,"=""00000""",FIPS,2639298.426378009,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,5622191,NAICS_2012_Code,,"=""00000""",FIPS,73579022.8189197,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,5622192,NAICS_2012_Code,,"=""00000""",FIPS,11692451.460055117,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311211,624210,NAICS_2012_Code,,"=""00000""",FIPS,35329403.47655919,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,115112,NAICS_2012_Code,,"=""00000""",FIPS,36276758.211225346,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,311119,NAICS_2012_Code,,"=""00000""",FIPS,82328715.2159044,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,324110,NAICS_2012_Code,,"=""00000""",FIPS,1410546.5292544742,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,5622121,NAICS_2012_Code,,"=""00000""",FIPS,5449774.832836504,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,562213,NAICS_2012_Code,,"=""00000""",FIPS,795123.5853566662,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,5622191,NAICS_2012_Code,,"=""00000""",FIPS,22166654.53444263,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,5622192,NAICS_2012_Code,,"=""00000""",FIPS,3522505.766536713,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311212,624210,NAICS_2012_Code,,"=""00000""",FIPS,10643450.426083304,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
Food Waste,Other,311213,115112,NAICS_2012_Code,,"=""00000""",FIPS,12081503.935474267,kg,WASTE_FLOW,2018,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EPA_WFR.manufacturing,,I,I,Census_ASM
