Flowable,Class,SectorProducedBy,SectorConsumedBy,SectorSourceName,Context,Location,LocationSystem,FlowAmount,Unit,FlowType,Year,MeasureofSpread,Spread,DistributionType,Min,Max,DataReliability,TemporalCorrelation,GeographicalCorrelation,TechnologicalCorrelation,DataCollection,MetaSources,FlowUUID,ProducedBySectorType,ConsumedBySectorType,AttributionSources
"Water, fresh",Water,221310,F01000,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,18917362808754.547,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.equal_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,I,I,Direct
"Water, fresh",Water,221310,F01000,NAICS_2012_Code,resource/water/subterranean/fresh water body,"=""00000""",FIPS,12834393071245.453,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.equal_attribution,5d717594-2c5c-394c-8eaf-9e9d2fd553fd,I,I,Direct
"Water, fresh",Water,,111110,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,2026691013795.6624,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111120,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,337043474228.758,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111130,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1319073745792.1453,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111140,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,4360079242337.265,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111150,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,9657054348107.95,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111160,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,2548834491220.998,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111199,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,3462522386294.8716,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111211,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,2618720359735.7896,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111219,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1314943530725.6738,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111310,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1759402011633.5964,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111320,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1759402011633.5964,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111331,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,351880402326.7193,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111332,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,351880402326.7193,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111333,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,53242322065.82354,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111334,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,194368242108.40173,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111335,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,351880402326.7193,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111336,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,351880402326.7193,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111339,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,351880402326.7193,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111421,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,12193916749.637583,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111910,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,84971439203.38489,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111920,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1970126901969.4463,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111930,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,385393803857.742,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111940,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,33671103439779.25,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111991,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,1350631046558.935,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111992,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,177954870427.66992,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,111998,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,920504306711.6086,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,112111,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,8752134779200.393,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,112112,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,353739334673.9248,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
"Water, fresh",Water,,112120,NAICS_2012_Code,resource/water/fresh water body,"=""00000""",FIPS,257656954152.0848,kg,ELEMENTARY_FLOW,2015,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,USGS_NWIS_WU.cropland_attribution,3a10ad4e-2c19-3be8-b199-249d7020bba1,,I,USDA_CoA_Cropland
