FacilityID,FacilityName,Address,City,State,Zip,Latitude,Longitude,County,NAICS,SIC,UrbanRural,Plant operator name,Balancing Authority Name,Balancing Authority Code,NERC region acronym,eGRID subregion acronym,Plant primary fuel,Plant primary coal/oil/gas/ other fossil fuel category,Plant coal generation percent (resource mix),Plant oil generation percent (resource mix),Plant gas generation percent (resource mix),Plant nuclear generation percent (resource mix),Plant hydro generation percent (resource mix),Plant biomass generation percent (resource mix),Plant wind generation percent (resource mix),Plant solar generation percent (resource mix),Plant geothermal generation percent (resource mix),Plant other fossil generation percent (resource mix),Plant other unknown / purchased fuel generation percent (resource mix)
54452,Agrium Kenai Nitrogen Operations,,,AK,,60.6732,-151.3784,Kenai Peninsula,,,,Homer Electric Assn Inc,No balancing authority,,AK,AKGD,NG,GAS,,,,,,,,,,,
57053,Alakanuk,,,AK,,62.6833,-164.6544,Wade Hampton,,,,"Alaska Village Elec Coop, Inc",No balancing authority,,AK,AKMS,JF,OIL,,,,,,,,,,,
58982,Allison Creek Hydro,,,AK,,61.084444,-146.353333,Valdez Cordova,,,,"Copper Valley Elec Assn, Inc",No balancing authority,,AK,AKMS,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
60243,Ambler,,,AK,,67.08798,-157.856719,Northwest Arctic,,,,"Alaska Village Elec Coop, Inc",No balancing authority,,AK,AKMS,DFO,OIL,0,100,0,0,0,0,0,0,0,0,0
7462,Angoon,,,AK,,57.499166,-134.58614,Hoonah-Angoon,,,,"Inside Passage Elec Coop, Inc",No balancing authority,,AK,AKMS,DFO,OIL,0,100,0,0,0,0,0,0,0,0,0
7182,Aniak,,,AK,,61.580678,-159.535643,Bethel,,,,Aniak Light & Power Co Inc,No balancing authority,,AK,AKMS,DFO,OIL,0,100,0,0,0,0,0,0,0,0,0
62,Annex Creek,,,AK,,58.3176,-134.101,Juneau,,,,Alaska Electric Light&Power Co,No balancing authority,,AK,AKMS,WAT,HYDRO,0,0,0,0,100,0,0,0,0,0,0
7250,Auke Bay,,,AK,,58.3875,-134.6446,Juneau,,,,Alaska Electric Light&Power Co,No balancing authority,,AK,AKMS,DFO,OIL,,,,,,,,,,,
79,Aurora Energy LLC Chena,,,AK,,64.847743,-147.735063,Fairbanks North Star,,,,Golden Valley Elec Assn Inc,No balancing authority,,AK,AKGD,SUB,COAL,100,0,0,0,0,0,0,0,0,0,0
7173,Barrow,,,AK,,71.292,-156.7786,North Slope,,,,"Barrow Utils & Elec Coop, Inc",No balancing authority,,AK,AKMS,NG,GAS,0,0.002406457,99.99759354,0,0,0,0,0,0,0,0
